pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo,zone_pct,contact_pct,exit_velo
656876,CH,Changeup,Offspeed,274,0.12086457873842082,0.36879432624113473,0.3466666666666667,89.8310218978102,0.2956204379562044,0.6312056737588653,81.75714285714285
656876,CU,Curveball,Breaking,87,0.038376709307454786,0.2857142857142857,0.375,80.19080459770116,0.4482758620689655,0.7142857142857143,85.82666666666667
656876,ST,Sweeper,Breaking,65,0.02867225408028231,0.17142857142857143,0.1111111111111111,84.54461538461538,0.47692307692307695,0.8285714285714285,84.92307692307692
656945,SL,Slider,Breaking,451,0.5172018348623854,0.4214876033057851,0.34951456310679613,89.34855875831485,0.4634146341463415,0.578512396694215,84.43880597014925
656945,FF,4-Seam FB,Fastball,416,0.47706422018348627,0.2584745762711864,0.25,96.77091346153846,0.5360576923076923,0.7415254237288136,82.16219512195123
656986,SL,Slider,Breaking,234,0.7289719626168224,0.4,0.3673469387755102,85.64786324786324,0.48717948717948717,0.6,81.2515625
656986,FF,4-Seam FB,Fastball,64,0.19937694704049844,0.0967741935483871,0.0,93.80781250000001,0.640625,0.9032258064516129,89.96296296296296
657044,SI,Sinker,Fastball,450,0.6206896551724138,0.1619047619047619,0.18181818181818182,89.23066666666668,0.48444444444444446,0.8380952380952381,83.48853503184714
657044,SL,Slider,Breaking,236,0.3255172413793103,0.2459016393442623,0.21666666666666667,77.81313559322035,0.4872881355932203,0.7540983606557377,77.98333333333333
657044,FF,4-Seam FB,Fastball,39,0.05379310344827586,0.1875,0.18181818181818182,91.18974358974359,0.41025641025641024,0.8125,86.3076923076923
657097,FF,4-Seam FB,Fastball,444,0.4344422700587084,0.25112107623318386,0.23529411764705882,94.22454954954954,0.5292792792792793,0.7488789237668161,86.15732484076433
657097,CH,Changeup,Offspeed,384,0.37573385518590996,0.43037974683544306,0.3333333333333333,85.60104166666667,0.4348958333333333,0.5696202531645569,78.21774193548387
657097,SL,Slider,Breaking,92,0.09001956947162426,0.2564102564102564,0.18181818181818182,85.74782608695652,0.5108695652173914,0.7435897435897436,79.88214285714287
657097,CU,Curveball,Breaking,68,0.06653620352250489,0.15384615384615385,0.0,81.91323529411764,0.5735294117647058,0.8461538461538461,85.59
657097,ST,Sweeper,Breaking,34,0.033268101761252444,0.5555555555555556,0.0,82.52941176470587,0.29411764705882354,0.4444444444444444,104.66666666666667
657265,SI,Sinker,Fastball,126,0.42,0.14035087719298245,0.0,92.31825396825397,0.5079365079365079,0.8596491228070176,85.55000000000001
657265,CU,Curveball,Breaking,72,0.24,0.2222222222222222,0.17647058823529413,81.44999999999999,0.3194444444444444,0.7777777777777778,80.77000000000001
657265,ST,Sweeper,Breaking,40,0.13333333333333333,0.2857142857142857,0.6666666666666666,81.115,0.525,0.7142857142857143,91.58000000000001
657265,FF,4-Seam FB,Fastball,33,0.11,0.21052631578947367,0.18181818181818182,92.61818181818182,0.48484848484848486,0.7894736842105263,82.67142857142856
657277,SI,Sinker,Fastball,667,0.28774805867126835,0.10526315789473684,0.125,91.99985007496251,0.568215892053973,0.8947368421052632,86.5182879377432
657277,CH,Changeup,Offspeed,568,0.2450388265746333,0.2772585669781931,0.24528301886792453,85.82042253521126,0.3028169014084507,0.7227414330218069,79.72449999999999
657277,ST,Sweeper,Breaking,466,0.20103537532355478,0.24050632911392406,0.27586206896551724,84.07360515021459,0.5,0.759493670886076,80.90943396226415
657277,FC,Cutter,Fastball,311,0.13416738567730802,0.19393939393939394,0.1891891891891892,89.8016077170418,0.5176848874598071,0.806060606060606,77.965625
657277,FF,4-Seam FB,Fastball,306,0.13201035375323555,0.2392638036809816,0.20212765957446807,92.23888888888888,0.4411764705882353,0.7607361963190185,80.31150442477876
657424,SL,Slider,Breaking,240,0.4436229205175601,0.24545454545454545,0.15789473684210525,84.32916666666667,0.38333333333333336,0.7545454545454545,81.39750000000001
657424,FF,4-Seam FB,Fastball,179,0.33086876155268025,0.25555555555555554,0.25806451612903225,92.23016759776537,0.37988826815642457,0.7444444444444445,77.66333333333333
657424,CH,Changeup,Offspeed,81,0.14972273567467653,0.20588235294117646,0.26666666666666666,85.1395061728395,0.30864197530864196,0.7941176470588236,79.304
657424,SI,Sinker,Fastball,41,0.07578558225508318,0.22727272727272727,0.09090909090909091,92.91707317073171,0.5121951219512195,0.7727272727272727,85.14117647058823
657514,SI,Sinker,Fastball,365,0.3924731182795699,0.15675675675675677,0.16,90.17479452054795,0.6136986301369863,0.8432432432432433,84.78561643835617
657514,CU,Curveball,Breaking,307,0.3301075268817204,0.36585365853658536,0.3684210526315789,77.80586319218241,0.3583061889250814,0.6341463414634146,79.02638888888889
657514,FC,Cutter,Fastball,122,0.13118279569892474,0.24561403508771928,0.0,85.79590163934428,0.47540983606557374,0.7543859649122807,78.6325
657514,CH,Changeup,Offspeed,72,0.07741935483870968,0.26666666666666666,0.3333333333333333,80.3125,0.2222222222222222,0.7333333333333334,81.64761904761905
657514,FF,4-Seam FB,Fastball,55,0.05913978494623656,0.16666666666666666,0.1111111111111111,90.51454545454546,0.45454545454545453,0.8333333333333334,78.34166666666665
