player_id,season,player,position,team,conference,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
5084354,2026,Kaleb Lyons,DB,Eastern Illinois,OVC,1.0,0.0,0.0,4.0,0.0,0.5,5.0,,,,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084479,2026,Danny Sears,LB,Northwestern State,Southland,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084590,2026,Craig Cunningham,RB,Morehead State,Pioneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5.0,0.0,61.0,12.2,19.0,20.0,0.0,89.0,4.7
5084657,2026,Dakarai Anderson,WR,Central Arkansas,UAC,,,,,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,0.0,38.0,6.3,1.0,6.0,0.0,6.0,6.0
5084796,2026,Caleb King,DB,Austin Peay,UAC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084807,2026,Jaden King,CB,Houston Christian,Southland,1.0,0.0,0.0,3.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084898,2026,Ta'Ron Haile,DB,Austin Peay,UAC,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085365,2026,Deorius Cobbs,DE,Central Arkansas,UAC,0.0,0.0,0.0,1.0,0.0,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085431,2026,Eli Jones,LB,Austin Peay,UAC,0.0,0.0,0.5,4.0,0.0,1.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085504,2026,Daniel Haughton,WR,Furman,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,5.0,0.0,87.0,17.4,,,,,
5085540,2026,Aidan Garcia,WR,Drake,Pioneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,0.0,20.0,10.0,,,,,
5085652,2026,Sabin McLaughlin,DB,Gardner-Webb,OVC,0.0,0.0,0.0,4.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085677,2026,Mitchell January,WR,Drake,Pioneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,7.0,0.0,55.0,7.9,,,,,
5085687,2026,J.R. Flood,LB,Drake,Pioneer,0.0,0.0,0.0,5.0,0.0,0.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085689,2026,Tommy Williams,DB,Drake,Pioneer,0.0,0.0,0.0,2.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085846,2026,Ethan Harris,WR,Furman,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,0.0,49.0,16.3,,,,,
5085852,2026,Ben Croasdale,RB,Furman,Southern,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,4.0,4.0,11.0,25.0,2.0,67.0,6.1
5085866,2026,Gram Smithson,WR,Furman,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,12.0,12.0,,,,,
